DOID,Gene
DOID:3068,120
DOID:1324,120
DOID:3347,120
DOID:2024,123
DOID:684,123
DOID:4451,123
DOID:10584,123
DOID:9352,123
DOID:1936,123
DOID:0080208,123
DOID:9256,123
DOID:8584,123
DOID:0080808,123
DOID:4450,123
DOID:1883,123
DOID:3910,123
DOID:0080546,123
DOID:0080547,123
DOID:4467,123
DOID:8577,123
DOID:305,123
DOID:4465,123
DOID:234,123
DOID:3498,123
DOID:1612,123
DOID:13223,123
DOID:5517,123
DOID:1909,123
DOID:1324,123
DOID:5844,123
DOID:0050894,123
DOID:6543,123
DOID:9970,123
DOID:3571,123
DOID:6039,123
DOID:9452,123
DOID:9973,124
DOID:1380,124
DOID:5419,124
DOID:12849,124
DOID:13223,124
DOID:1612,124
DOID:4450,124
DOID:10283,124
DOID:2048,124
DOID:1612,125
DOID:0050741,125
DOID:162,125
DOID:2030,125
DOID:3526,125
DOID:4989,125
DOID:9256,125
DOID:684,125
DOID:2723,125
DOID:5041,125
DOID:1749,125
DOID:3393,125
DOID:203,125
DOID:0050665,125
DOID:4990,125
DOID:1793,125
DOID:10126,125
DOID:409,125
DOID:5844,125
DOID:1205,125
DOID:10534,125
DOID:0050860,125
DOID:5520,125
DOID:11934,125
DOID:9976,125
DOID:1324,125
DOID:5419,125
DOID:12849,125
DOID:5082,125
DOID:9351,125
DOID:10763,125
DOID:2841,125
DOID:1596,125
DOID:1574,125
DOID:2361,125
DOID:2394,125
DOID:9970,125
DOID:9352,125
DOID:14018,125
DOID:11054,125
DOID:0060224,125
DOID:14330,125
DOID:10652,125
DOID:1588,125
DOID:13189,125
DOID:225,125
DOID:219,125
DOID:0080208,125
DOID:3459,125
DOID:6713,125
DOID:3748,125
DOID:1289,125
DOID:0050424,125
DOID:1936,125
DOID:0050696,125
DOID:3910,125
DOID:162,126
DOID:0050741,126
DOID:14330,126
DOID:684,126
DOID:2723,126
DOID:1749,126
DOID:1612,126
DOID:3393,126
DOID:1324,126
DOID:9351,126
DOID:0050866,126
DOID:0050860,126
DOID:657,126
DOID:1793,126
DOID:2596,126
DOID:409,126
DOID:5844,126
DOID:5520,126
DOID:9256,126
DOID:1574,126
DOID:5082,126
DOID:5041,126
DOID:12603,126
DOID:5419,126
DOID:12849,126
DOID:10534,126
DOID:14018,126
DOID:4989,126
DOID:0060224,126
DOID:219,126
DOID:3910,126
DOID:8577,126
DOID:0050696,126
DOID:2154,126
DOID:0050741,127
DOID:9974,127
DOID:9973,127
DOID:684,127
DOID:2394,127
DOID:1574,127
DOID:5419,127
DOID:12849,127
DOID:5041,127
DOID:1324,128
DOID:2841,128
DOID:1793,128
DOID:5419,128
DOID:684,128
DOID:12849,128
DOID:14330,128
DOID:0111227,128
DOID:332,128
DOID:9970,128
DOID:9351,128
DOID:13636,128
DOID:225,128
DOID:5419,130
DOID:12849,130
DOID:10534,131
DOID:162,131
DOID:9256,131
DOID:5419,131
DOID:12849,131
DOID:1749,131
DOID:0050741,131
DOID:162,132
DOID:5810,132
DOID:3328,132
DOID:1826,132
DOID:9588,132
DOID:0050544,132
DOID:657,133
DOID:10591,133
DOID:13133,133
DOID:6000,133
DOID:13141,133
DOID:0050697,133
DOID:11202,133
DOID:10825,133
DOID:557,133
DOID:9352,133
DOID:1749,133
DOID:305,133
DOID:326,133
DOID:5844,133
DOID:6432,133
DOID:11123,133
DOID:2394,133
DOID:1612,133
DOID:3083,133
DOID:341,133
DOID:5419,133
DOID:10283,133
DOID:1936,133
DOID:6713,133
DOID:13378,133
DOID:850,133
DOID:10588,133
DOID:2018,133
DOID:9970,133
DOID:2986,133
DOID:576,133
DOID:559,133
DOID:2600,133
DOID:7148,133
DOID:11612,133
DOID:1793,133
DOID:11713,133
DOID:225,133
DOID:5199,133
DOID:6364,133
DOID:3068,133
DOID:4451,133
DOID:3393,133
DOID:162,133
DOID:824,133
DOID:3087,133
DOID:2316,133
DOID:4481,133
DOID:13042,133
DOID:4851,133
DOID:9256,133
DOID:2841,133
DOID:1909,133
DOID:0080933,133
DOID:1380,133
DOID:552,133
