X,logFC,AveExpr,t,P.Value,adj.P.Val,B,change
5592,0.377746911209651,7.24162798174411,1.53855445476205,0.129999666768257,0.198366898276705,-5.40057236816192,NOT
55920,0.757782314422244,8.0082407602595,5.72146374091174,5.34005905506866e-07,2.19442116968691e-05,6.0456856509872,NOT
55922,0.31657249239711,6.3943002651557,3.17487986216385,0.00252394006781158,0.00835323076479791,-1.96380077591496,NOT
55929,-0.0219343562679066,6.03829919214431,-0.158917952466735,0.874351480952942,0.905980755304975,-6.54376364800884,NOT
5593,-0.441696740041301,3.14330670747025,-2.52641826844873,0.0146183601227957,0.033059592875445,-3.55301046344157,NOT
55930,-0.0937143253837132,8.68214230964058,-0.338001420816144,0.73672813167875,0.794697053306309,-6.49936824135898,NOT
55937,-0.58835278554684,4.35154936315683,-4.25878159874144,8.67482960229331e-05,0.000804263760942032,1.18682868902732,NOT
5594,-0.102435724121985,9.78719143276959,-0.919424964612193,0.362135003181477,0.456206854582642,-6.13754931136247,NOT
5595,0.453285911092571,7.45707813963067,3.40956406315021,0.00126771970468972,0.0050026520997648,-1.32815532858088,NOT
55954,0.00401810225936927,5.16881386451427,0.0428242601514293,0.966006269387794,0.97466517533463,-6.55546085235747,NOT
55957,0.61024683065602,6.69429685432319,3.79231238606924,0.000391505059970345,0.00218874722859994,-0.23268306486387,NOT
55958,-0.143285798460164,8.57626411940945,-1.48932325857378,0.14246581527609,0.213760042600191,-5.47182216196284,NOT
55959,1.61584039455431,9.34167067299728,4.42756947845582,4.94222701764529e-05,0.000559939800954545,1.71987393285359,Up
5596,-0.216913636376257,2.88264282514166,-3.86321769366421,0.000312901103422713,0.00188265026803657,-0.0224782922464613,NOT
55966,-0.129263062720343,2.82947475042588,-2.54122996768548,0.0140803220473515,0.0320691924219674,-3.51972943945162,NOT
55967,0.601939088608454,9.9908616702925,3.62398615048245,0.000661298771503031,0.00316281249834155,-0.722889469544133,NOT
55968,0.382941241347421,7.90072894151389,2.73717564554577,0.0084712364349754,0.0213204045832642,-3.06555202934019,NOT
5597,0.590377910883104,8.98701493115625,3.79003532212305,0.000394320480696064,0.00219965970801362,-0.239398052365217,NOT
55970,0.284780734762739,9.77008128050303,1.59957873780493,0.115774176064926,0.180050891887678,-5.30933223103774,NOT
